"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"158","kcue.ast.eip.eis.cnslt.telunvent.web","src/main/java/kcue/ast/eip/eis/cnslt/telunvent/web/EipTelUnivCnsltController.java","2","59","사용되지 않는 Private field 'messageSource' 가 선언되었음","pmd-eclipse","UnusedPrivateField"
"159","kcue.ast.eip.eis.cnslt.workpsi.service.impl","src/main/java/kcue/ast/eip/eis/cnslt/workpsi/service/impl/EipWorkPsiServiceImpl.java","1","195","Switch구문에는 반드시 default label이 있어야 함","pmd-eclipse","SwitchStmtsShouldHaveDefault"
"160","kcue.ast.eip.eis.cnslt.workpsi.web","src/main/java/kcue/ast/eip/eis/cnslt/workpsi/web/EipWorkPsiController.java","2","38","사용되지 않는 Private field 'log' 가 선언되었음","pmd-eclipse","UnusedPrivateField"
"161","kcue.ast.eip.eis.cnslt.workpsi.web","src/main/java/kcue/ast/eip/eis/cnslt/workpsi/web/EipWorkPsiController.java","2","49","사용되지 않는 Private field 'messageSource' 가 선언되었음","pmd-eclipse","UnusedPrivateField"
"162","kcue.ast.eip.eis.cstmr.useinqry.service","src/main/java/kcue/ast/eip/eis/cstmr/useinqry/service/EipAnsQestnVO.java","2","98","사용되지 않는 Private field 'searchThrExtField' 가 선언되었음","pmd-eclipse","UnusedPrivateField"
"163","kcue.ast.eip.eis.inf.coseinf.web","src/main/java/kcue/ast/eip/eis/inf/coseinf/web/EipCoseInfOccpClController.java","1","498","System.out.print 가 사용됨.","pmd-eclipse","SystemPrintln"
"164","kcue.ast.eip.eis.inf.coseinf.web","src/main/java/kcue/ast/eip/eis/inf/coseinf/web/EipCoseInfOccpClController.java","1","502","System.out.print 가 사용됨.","pmd-eclipse","SystemPrintln"
"165","kcue.ast.eip.eis.inf.coseinf.web","src/main/java/kcue/ast/eip/eis/inf/coseinf/web/EipCoseInfOccpClController.java","1","1184","빈 if 구문의 사용을 피하도록 함","pmd-eclipse","EmptyIfStmt"
"166","kcue.ast.eip.eis.inf.selctninf.web","src/main/java/kcue/ast/eip/eis/inf/selctninf/web/EipSelctnInfSelScheMthGnrlController.java","1","152","SimpleDateFormat 인스턴스를 생성할때 Locale 을 지정하는 것이 바람직함","pmd-eclipse","SimpleDateFormatNeedsLocale"
"167","kcue.ast.eip.eis.inf.selctninf.web","src/main/java/kcue/ast/eip/eis/inf/selctninf/web/EipSelctnInfSelScheMthGnrlController.java","1","272","SimpleDateFormat 인스턴스를 생성할때 Locale 을 지정하는 것이 바람직함","pmd-eclipse","SimpleDateFormatNeedsLocale"
"168","kcue.ast.eip.eis.inf.univinf.web","src/main/java/kcue/ast/eip/eis/inf/univinf/web/EipUinfStdptSelctnController.java","2","60","사용되지 않는 Private field 'messageSource' 가 선언되었음","pmd-eclipse","UnusedPrivateField"
"169","kcue.ast.eip.eis.inf.univinf.web","src/main/java/kcue/ast/eip/eis/inf/univinf/web/EipUinfStdptSelctnController.java","2","63","사용되지 않는 Private field 'log' 가 선언되었음","pmd-eclipse","UnusedPrivateField"
"170","kcue.ast.eip.eis.mypge.certify.web","src/main/java/kcue/ast/eip/eis/mypge/certify/web/EipMyCertifyController.java","2","47","'certi_se_cd' 처럼 파라미터 값을 직접 변경하지 말것","pmd-eclipse","AvoidReassigningParameters"
"171","kcue.ast.eip.eis.mypge.certify.web","src/main/java/kcue/ast/eip/eis/mypge/certify/web/EipMyCertifyController.java","2","80","'certi_se_cd' 처럼 파라미터 값을 직접 변경하지 말것","pmd-eclipse","AvoidReassigningParameters"
"172","kcue.ast.eip.eis.mypge.chldrnentsch.web","src/main/java/kcue/ast/eip/eis/mypge/chldrnentsch/web/EipEntschAsstnReqController.java","2","153","'certi_se_cd' 처럼 파라미터 값을 직접 변경하지 말것","pmd-eclipse","AvoidReassigningParameters"
"173","kcue.ast.eip.eis.mypge.chldrnentsch.web","src/main/java/kcue/ast/eip/eis/mypge/chldrnentsch/web/EipEntschAsstnReqController.java","2","191","'certi_se_cd' 처럼 파라미터 값을 직접 변경하지 말것","pmd-eclipse","AvoidReassigningParameters"
"174","kcue.ast.eip.eis.mypge.chldrnentsch.web","src/main/java/kcue/ast/eip/eis/mypge/chldrnentsch/web/EipEntschAsstnReqController.java","1","377","빈 if 구문의 사용을 피하도록 함","pmd-eclipse","EmptyIfStmt"
"175","kcue.ast.eip.eis.mypge.chldrnentsch.web","src/main/java/kcue/ast/eip/eis/mypge/chldrnentsch/web/EipEntschAsstnReqController.java","2","410","'tab' 처럼 파라미터 값을 직접 변경하지 말것","pmd-eclipse","AvoidReassigningParameters"
"176","kcue.ast.eip.eis.mypge.goalunivschul.web","src/main/java/kcue/ast/eip/eis/mypge/goalunivschul/web/EipGoalUnivSchdulController.java","1","85","SimpleDateFormat 인스턴스를 생성할때 Locale 을 지정하는 것이 바람직함","pmd-eclipse","SimpleDateFormatNeedsLocale"
"177","kcue.ast.eip.eis.mypge.schdul.web","src/main/java/kcue/ast/eip/eis/mypge/schdul/web/EipCldrExController.java","1","90","SimpleDateFormat 인스턴스를 생성할때 Locale 을 지정하는 것이 바람직함","pmd-eclipse","SimpleDateFormatNeedsLocale"
"178","kcue.ast.eip.eis.mypge.schdul.web","src/main/java/kcue/ast/eip/eis/mypge/schdul/web/EipCldrExController.java","1","265","SimpleDateFormat 인스턴스를 생성할때 Locale 을 지정하는 것이 바람직함","pmd-eclipse","SimpleDateFormatNeedsLocale"
"179","kcue.ast.eip.eis.mypge.submainpge.web","src/main/java/kcue/ast/eip/eis/mypge/submainpge/web/EipSubMainController.java","2","53","사용되지 않는 Private field 'messageSource' 가 선언되었음","pmd-eclipse","UnusedPrivateField"
"180","kcue.ast.eip.eis.mypge.violtinf.web","src/main/java/kcue/ast/eip/eis/mypge/violtinf/web/EipMyVioltInfCnController.java","2","75","'certify_yn' 처럼 파라미터 값을 직접 변경하지 말것","pmd-eclipse","AvoidReassigningParameters"
"181","kcue.ast.eip.eis.mypge.violtinf.web","src/main/java/kcue/ast/eip/eis/mypge/violtinf/web/EipMyVioltInfCnController.java","2","164","'certi_se_cd' 처럼 파라미터 값을 직접 변경하지 말것","pmd-eclipse","AvoidReassigningParameters"
"182","kcue.ast.eip.eis.mypge.violtinf.web","src/main/java/kcue/ast/eip/eis/mypge/violtinf/web/EipMyVioltInfCnController.java","2","215","'certi_se_cd' 처럼 파라미터 값을 직접 변경하지 말것","pmd-eclipse","AvoidReassigningParameters"
"183","kcue.ast.eip.eis.presnatn.expo.web","src/main/java/kcue/ast/eip/eis/presnatn/expo/web/EipUnventInfExhbListController.java","1","92","빈 if 구문의 사용을 피하도록 함","pmd-eclipse","EmptyIfStmt"
"184","kcue.ast.eip.eis.presnatn.schdul.web","src/main/java/kcue/ast/eip/eis/presnatn/schdul/web/EipPresnatnSchdulController.java","1","86","SimpleDateFormat 인스턴스를 생성할때 Locale 을 지정하는 것이 바람직함","pmd-eclipse","SimpleDateFormatNeedsLocale"
"185","kcue.ast.eip.eis.search.object","src/main/java/kcue/ast/eip/eis/search/object/EipPeriodPopularObject.java","2","67","가공되지 않은 Exception을 throw하는 것은 비추천","pmd-eclipse","AvoidThrowingRawExceptionTypes"
"186","kcue.ast.eip.eis.search.object","src/main/java/kcue/ast/eip/eis/search/object/EipPopularObject.java","2","55","가공되지 않은 Exception을 throw하는 것은 비추천","pmd-eclipse","AvoidThrowingRawExceptionTypes"
"187","kcue.ast.eip.eis.search.object","src/main/java/kcue/ast/eip/eis/search/object/EipSearchClickLogObject.java","2","36","사용되지 않는 Private Method 'makeSearchLogQueryURL()' 가 선언되었음","pmd-eclipse","UnusedPrivateMethod"
"188","kcue.ast.eip.eis.search.object","src/main/java/kcue/ast/eip/eis/search/object/EipSearchClickLogObject.java","2","81","가공되지 않은 Exception을 throw하는 것은 비추천","pmd-eclipse","AvoidThrowingRawExceptionTypes"
"189","kcue.ast.eip.eis.search.object","src/main/java/kcue/ast/eip/eis/search/object/EipSearchLogObject.java","2","294","가공되지 않은 Exception을 throw하는 것은 비추천","pmd-eclipse","AvoidThrowingRawExceptionTypes"
"190","kcue.ast.eip.eis.search.object","src/main/java/kcue/ast/eip/eis/search/object/EipSearchQueryObject.java","1","11","생성자에서 Assign된 변수 'restApiURL' 를 Final로 선언하지 않았음","pmd-eclipse","ImmutableField"
"191","kcue.ast.eip.eis.search.object","src/main/java/kcue/ast/eip/eis/search/object/EipSearchQueryObject.java","2","157","가공되지 않은 Exception을 throw하는 것은 비추천","pmd-eclipse","AvoidThrowingRawExceptionTypes"
"192","kcue.ast.eip.eis.search.object","src/main/java/kcue/ast/eip/eis/search/object/EipSearchRelateKeyword.java","2","62","가공되지 않은 Exception을 throw하는 것은 비추천","pmd-eclipse","AvoidThrowingRawExceptionTypes"
"193","kcue.ast.eip.eis.search.service.impl","src/main/java/kcue/ast/eip/eis/search/service/impl/EipAnalyticsServiceImpl.java","1","317","SimpleDateFormat 인스턴스를 생성할때 Locale 을 지정하는 것이 바람직함","pmd-eclipse","SimpleDateFormatNeedsLocale"
"194","kcue.ast.eip.eis.search.service.impl","src/main/java/kcue/ast/eip/eis/search/service/impl/EipAnalyticsServiceImpl.java","1","367","SimpleDateFormat 인스턴스를 생성할때 Locale 을 지정하는 것이 바람직함","pmd-eclipse","SimpleDateFormatNeedsLocale"
"195","kcue.ast.eip.eis.search.service.impl","src/main/java/kcue/ast/eip/eis/search/service/impl/EipAnalyticsServiceImpl.java","2","451","가공되지 않은 Exception을 throw하는 것은 비추천","pmd-eclipse","AvoidThrowingRawExceptionTypes"
"196","kcue.ast.eip.eis.search.service.impl","src/main/java/kcue/ast/eip/eis/search/service/impl/EipAnalyticsServiceImpl.java","2","453","가공되지 않은 Exception을 throw하는 것은 비추천","pmd-eclipse","AvoidThrowingRawExceptionTypes"
"197","kcue.ast.eip.eis.search.service.impl","src/main/java/kcue/ast/eip/eis/search/service/impl/EipAnalyticsServiceImpl.java","2","455","가공되지 않은 Exception을 throw하는 것은 비추천","pmd-eclipse","AvoidThrowingRawExceptionTypes"
"198","kcue.ast.eip.eis.search.service.impl","src/main/java/kcue/ast/eip/eis/search/service/impl/EipAnalyticsServiceImpl.java","2","457","가공되지 않은 Exception을 throw하는 것은 비추천","pmd-eclipse","AvoidThrowingRawExceptionTypes"
"199","kcue.ast.eip.eis.search.service.impl","src/main/java/kcue/ast/eip/eis/search/service/impl/EipAnalyticsServiceImpl.java","2","462","가공되지 않은 Exception을 throw하는 것은 비추천","pmd-eclipse","AvoidThrowingRawExceptionTypes"
"200","kcue.ast.eip.eis.search.service.impl","src/main/java/kcue/ast/eip/eis/search/service/impl/EipAnalyticsServiceImpl.java","2","473","가공되지 않은 Exception을 throw하는 것은 비추천","pmd-eclipse","AvoidThrowingRawExceptionTypes"
"201","kcue.ast.eip.eis.search.service.impl","src/main/java/kcue/ast/eip/eis/search/service/impl/EipSearchServiceImpl.java","2","34","사용되지 않는 Private field 'SE_AND' 가 선언되었음","pmd-eclipse","UnusedPrivateField"
"202","kcue.ast.eip.eis.search.service.impl","src/main/java/kcue/ast/eip/eis/search/service/impl/EipSearchServiceImpl.java","2","54","'keyword' 처럼 파라미터 값을 직접 변경하지 말것","pmd-eclipse","AvoidReassigningParameters"
"203","kcue.ast.eip.eis.search.service.impl","src/main/java/kcue/ast/eip/eis/search/service/impl/EipSearchServiceImpl.java","1","99","빈 if 구문의 사용을 피하도록 함","pmd-eclipse","EmptyIfStmt"
"204","kcue.ast.eip.eis.search.service.impl","src/main/java/kcue/ast/eip/eis/search/service/impl/EipSearchServiceImpl.java","2","178","'keyword' 처럼 파라미터 값을 직접 변경하지 말것","pmd-eclipse","AvoidReassigningParameters"
"205","kcue.ast.eip.eis.search.service.impl","src/main/java/kcue/ast/eip/eis/search/service/impl/EipSearchServiceImpl.java","1","226","빈 if 구문의 사용을 피하도록 함","pmd-eclipse","EmptyIfStmt"
"206","kcue.ast.eip.eis.search.service.impl","src/main/java/kcue/ast/eip/eis/search/service/impl/EipSearchServiceImpl.java","2","269","'keyword' 처럼 파라미터 값을 직접 변경하지 말것","pmd-eclipse","AvoidReassigningParameters"
"207","kcue.ast.eip.eis.search.service.impl","src/main/java/kcue/ast/eip/eis/search/service/impl/EipSearchServiceImpl.java","1","328","빈 if 구문의 사용을 피하도록 함","pmd-eclipse","EmptyIfStmt"
"208","kcue.ast.eip.eis.search.service.impl","src/main/java/kcue/ast/eip/eis/search/service/impl/EipSearchServiceImpl.java","2","371","'keyword' 처럼 파라미터 값을 직접 변경하지 말것","pmd-eclipse","AvoidReassigningParameters"
"209","kcue.ast.eip.eis.search.service.impl","src/main/java/kcue/ast/eip/eis/search/service/impl/EipSearchServiceImpl.java","2","426","'keyword' 처럼 파라미터 값을 직접 변경하지 말것","pmd-eclipse","AvoidReassigningParameters"
"210","kcue.ast.eip.eis.search.service.impl","src/main/java/kcue/ast/eip/eis/search/service/impl/EipSearchServiceImpl.java","1","454","SimpleDateFormat 인스턴스를 생성할때 Locale 을 지정하는 것이 바람직함","pmd-eclipse","SimpleDateFormatNeedsLocale"
"211","kcue.ast.eip.eis.search.service.impl","src/main/java/kcue/ast/eip/eis/search/service/impl/EipSearchServiceImpl.java","1","505","빈 if 구문의 사용을 피하도록 함","pmd-eclipse","EmptyIfStmt"
"212","kcue.ast.eip.eis.search.service.impl","src/main/java/kcue/ast/eip/eis/search/service/impl/EipSearchServiceImpl.java","2","638","'keyword' 처럼 파라미터 값을 직접 변경하지 말것","pmd-eclipse","AvoidReassigningParameters"
"213","kcue.ast.eip.eis.search.service.impl","src/main/java/kcue/ast/eip/eis/search/service/impl/EipSearchServiceImpl.java","2","683","'keyword' 처럼 파라미터 값을 직접 변경하지 말것","pmd-eclipse","AvoidReassigningParameters"
"214","kcue.ast.eip.eis.search.service.impl","src/main/java/kcue/ast/eip/eis/search/service/impl/EipSearchServiceImpl.java","2","683","'searchOptionKeyword' 처럼 파라미터 값을 직접 변경하지 말것","pmd-eclipse","AvoidReassigningParameters"
"215","kcue.ast.eip.eis.search.service.impl","src/main/java/kcue/ast/eip/eis/search/service/impl/EipSearchServiceImpl.java","1","709","빈 if 구문의 사용을 피하도록 함","pmd-eclipse","EmptyIfStmt"
"216","kcue.ast.eip.eis.search.service.impl","src/main/java/kcue/ast/eip/eis/search/service/impl/EipSearchServiceImpl.java","2","814","가공되지 않은 Exception을 throw하는 것은 비추천","pmd-eclipse","AvoidThrowingRawExceptionTypes"
"217","kcue.ast.eip.eis.search.service.impl","src/main/java/kcue/ast/eip/eis/search/service/impl/EipSearchServiceImpl.java","2","816","가공되지 않은 Exception을 throw하는 것은 비추천","pmd-eclipse","AvoidThrowingRawExceptionTypes"
"218","kcue.ast.eip.eis.search.service.impl","src/main/java/kcue/ast/eip/eis/search/service/impl/EipSearchServiceImpl.java","2","818","가공되지 않은 Exception을 throw하는 것은 비추천","pmd-eclipse","AvoidThrowingRawExceptionTypes"
"219","kcue.ast.eip.eis.search.service.impl","src/main/java/kcue/ast/eip/eis/search/service/impl/EipSearchServiceImpl.java","2","820","가공되지 않은 Exception을 throw하는 것은 비추천","pmd-eclipse","AvoidThrowingRawExceptionTypes"
"220","kcue.ast.eip.eis.search.service.impl","src/main/java/kcue/ast/eip/eis/search/service/impl/EipSearchServiceImpl.java","2","825","가공되지 않은 Exception을 throw하는 것은 비추천","pmd-eclipse","AvoidThrowingRawExceptionTypes"
"221","kcue.ast.eip.eis.search.service.impl","src/main/java/kcue/ast/eip/eis/search/service/impl/EipSearchServiceImpl.java","2","836","가공되지 않은 Exception을 throw하는 것은 비추천","pmd-eclipse","AvoidThrowingRawExceptionTypes"
"222","kcue.ast.eip.eis.search.service.impl","src/main/java/kcue/ast/eip/eis/search/service/impl/EipSearchServiceImpl.java","2","849","'keyword' 처럼 파라미터 값을 직접 변경하지 말것","pmd-eclipse","AvoidReassigningParameters"
"223","kcue.ast.eip.eis.search.service.impl","src/main/java/kcue/ast/eip/eis/search/service/impl/EipSearchServiceImpl.java","2","849","'keyword' 처럼 파라미터 값을 직접 변경하지 말것","pmd-eclipse","AvoidReassigningParameters"
"224","kcue.ast.eip.eis.search.service.impl","src/main/java/kcue/ast/eip/eis/search/service/impl/EipSearchServiceImpl.java","2","849","'keyword' 처럼 파라미터 값을 직접 변경하지 말것","pmd-eclipse","AvoidReassigningParameters"
"225","kcue.ast.eip.eis.search.service.impl","src/main/java/kcue/ast/eip/eis/search/service/impl/EipSearchServiceImpl.java","2","849","'keyword' 처럼 파라미터 값을 직접 변경하지 말것","pmd-eclipse","AvoidReassigningParameters"
"226","kcue.ast.eip.eis.search.service.impl","src/main/java/kcue/ast/eip/eis/search/service/impl/EipSearchServiceImpl.java","2","849","'keyword' 처럼 파라미터 값을 직접 변경하지 말것","pmd-eclipse","AvoidReassigningParameters"
"227","kcue.ast.eip.eis.search.service.impl","src/main/java/kcue/ast/eip/eis/search/service/impl/EipSearchServiceImpl.java","2","849","'keyword' 처럼 파라미터 값을 직접 변경하지 말것","pmd-eclipse","AvoidReassigningParameters"
"228","kcue.ast.eip.eis.search.service.impl","src/main/java/kcue/ast/eip/eis/search/service/impl/EipSearchServiceImpl.java","2","849","'keyword' 처럼 파라미터 값을 직접 변경하지 말것","pmd-eclipse","AvoidReassigningParameters"
"229","kcue.ast.eip.eis.search.service.impl","src/main/java/kcue/ast/eip/eis/search/service/impl/EipSearchServiceImpl.java","2","849","'keyword' 처럼 파라미터 값을 직접 변경하지 말것","pmd-eclipse","AvoidReassigningParameters"
"230","kcue.ast.eip.eis.search.service.impl","src/main/java/kcue/ast/eip/eis/search/service/impl/EipSearchServiceImpl.java","2","849","'keyword' 처럼 파라미터 값을 직접 변경하지 말것","pmd-eclipse","AvoidReassigningParameters"
"231","kcue.ast.eip.eis.search.service.impl","src/main/java/kcue/ast/eip/eis/search/service/impl/EipSearchServiceImpl.java","2","849","'keyword' 처럼 파라미터 값을 직접 변경하지 말것","pmd-eclipse","AvoidReassigningParameters"
"232","kcue.ast.eip.eis.search.service.impl","src/main/java/kcue/ast/eip/eis/search/service/impl/EipSearchServiceImpl.java","2","849","'keyword' 처럼 파라미터 값을 직접 변경하지 말것","pmd-eclipse","AvoidReassigningParameters"
"233","kcue.ast.eip.eis.search.service.impl","src/main/java/kcue/ast/eip/eis/search/service/impl/EipSearchServiceImpl.java","2","869","'keyword' 처럼 파라미터 값을 직접 변경하지 말것","pmd-eclipse","AvoidReassigningParameters"
"234","kcue.ast.eip.eis.search.service.impl","src/main/java/kcue/ast/eip/eis/search/service/impl/EipSearchServiceImpl.java","2","869","'keyword' 처럼 파라미터 값을 직접 변경하지 말것","pmd-eclipse","AvoidReassigningParameters"
"235","kcue.ast.eip.eis.search.service.impl","src/main/java/kcue/ast/eip/eis/search/service/impl/EipSearchServiceImpl.java","2","869","'keyword' 처럼 파라미터 값을 직접 변경하지 말것","pmd-eclipse","AvoidReassigningParameters"
"236","kcue.ast.eip.eis.search.service.impl","src/main/java/kcue/ast/eip/eis/search/service/impl/EipSearchServiceImpl.java","2","869","'keyword' 처럼 파라미터 값을 직접 변경하지 말것","pmd-eclipse","AvoidReassigningParameters"
"237","kcue.ast.eip.eis.search.service.impl","src/main/java/kcue/ast/eip/eis/search/service/impl/EipSearchServiceImpl.java","2","869","'keyword' 처럼 파라미터 값을 직접 변경하지 말것","pmd-eclipse","AvoidReassigningParameters"
"238","kcue.ast.eip.eis.search.service.impl","src/main/java/kcue/ast/eip/eis/search/service/impl/EipSearchServiceImpl.java","2","869","'keyword' 처럼 파라미터 값을 직접 변경하지 말것","pmd-eclipse","AvoidReassigningParameters"
"239","kcue.ast.eip.eis.search.service.impl","src/main/java/kcue/ast/eip/eis/search/service/impl/EipSearchServiceImpl.java","2","869","'keyword' 처럼 파라미터 값을 직접 변경하지 말것","pmd-eclipse","AvoidReassigningParameters"
"240","kcue.ast.eip.eis.search.service.impl","src/main/java/kcue/ast/eip/eis/search/service/impl/EipSearchServiceImpl.java","2","869","'keyword' 처럼 파라미터 값을 직접 변경하지 말것","pmd-eclipse","AvoidReassigningParameters"
"241","kcue.ast.eip.eis.search.web","src/main/java/kcue/ast/eip/eis/search/web/EipSearchController.java","2","44","사용되지 않는 Private field 'log' 가 선언되었음","pmd-eclipse","UnusedPrivateField"
"242","kcue.ast.eip.eis.search.web","src/main/java/kcue/ast/eip/eis/search/web/EipSearchController.java","2","48","'keyword' 처럼 파라미터 값을 직접 변경하지 말것","pmd-eclipse","AvoidReassigningParameters"
"243","kcue.ast.eip.eis.search.web","src/main/java/kcue/ast/eip/eis/search/web/EipSearchController.java","2","48","'keyword' 처럼 파라미터 값을 직접 변경하지 말것","pmd-eclipse","AvoidReassigningParameters"
"244","kcue.ast.eip.eis.search.web","src/main/java/kcue/ast/eip/eis/search/web/EipSearchController.java","2","50","'searchLog' 처럼 파라미터 값을 직접 변경하지 말것","pmd-eclipse","AvoidReassigningParameters"
"245","kcue.ast.eip.eis.search.web","src/main/java/kcue/ast/eip/eis/search/web/EipSearchController.java","2","51","'sortSubmitDate' 처럼 파라미터 값을 직접 변경하지 말것","pmd-eclipse","AvoidReassigningParameters"
"246","kcue.ast.eip.eis.search.web","src/main/java/kcue/ast/eip/eis/search/web/EipSearchController.java","2","52","'sortAccuracy' 처럼 파라미터 값을 직접 변경하지 말것","pmd-eclipse","AvoidReassigningParameters"
"247","kcue.ast.eip.eis.search.web","src/main/java/kcue/ast/eip/eis/search/web/EipSearchController.java","2","53","'sortPopular' 처럼 파라미터 값을 직접 변경하지 말것","pmd-eclipse","AvoidReassigningParameters"
"248","kcue.ast.eip.eis.search.web","src/main/java/kcue/ast/eip/eis/search/web/EipSearchController.java","2","54","'sortPeriod' 처럼 파라미터 값을 직접 변경하지 말것","pmd-eclipse","AvoidReassigningParameters"
"249","kcue.ast.eip.eis.search.web","src/main/java/kcue/ast/eip/eis/search/web/EipSearchController.java","2","55","'sortTarget' 처럼 파라미터 값을 직접 변경하지 말것","pmd-eclipse","AvoidReassigningParameters"
"250","kcue.ast.eip.eis.search.web","src/main/java/kcue/ast/eip/eis/search/web/EipSearchController.java","2","56","'sortYear' 처럼 파라미터 값을 직접 변경하지 말것","pmd-eclipse","AvoidReassigningParameters"
"251","kcue.ast.eip.eis.search.web","src/main/java/kcue/ast/eip/eis/search/web/EipSearchController.java","2","57","'sortPlace' 처럼 파라미터 값을 직접 변경하지 말것","pmd-eclipse","AvoidReassigningParameters"
"252","kcue.ast.eip.eis.search.web","src/main/java/kcue/ast/eip/eis/search/web/EipSearchController.java","2","57","'sortPlace' 처럼 파라미터 값을 직접 변경하지 말것","pmd-eclipse","AvoidReassigningParameters"
"253","kcue.ast.eip.eis.search.web","src/main/java/kcue/ast/eip/eis/search/web/EipSearchController.java","2","58","'searchOption' 처럼 파라미터 값을 직접 변경하지 말것","pmd-eclipse","AvoidReassigningParameters"
"254","kcue.ast.eip.eis.search.web","src/main/java/kcue/ast/eip/eis/search/web/EipSearchController.java","2","58","'searchOption' 처럼 파라미터 값을 직접 변경하지 말것","pmd-eclipse","AvoidReassigningParameters"
"255","kcue.ast.eip.eis.search.web","src/main/java/kcue/ast/eip/eis/search/web/EipSearchController.java","2","465","'keyword' 처럼 파라미터 값을 직접 변경하지 말것","pmd-eclipse","AvoidReassigningParameters"
"256","kcue.ast.eip.eis.search.web","src/main/java/kcue/ast/eip/eis/search/web/EipSearchController.java","2","470","'searchLog' 처럼 파라미터 값을 직접 변경하지 말것","pmd-eclipse","AvoidReassigningParameters"
"257","kcue.ast.eip.eis.search.web","src/main/java/kcue/ast/eip/eis/search/web/EipSearchController.java","2","471","'sortSubmitDate' 처럼 파라미터 값을 직접 변경하지 말것","pmd-eclipse","AvoidReassigningParameters"
"258","kcue.ast.eip.eis.search.web","src/main/java/kcue/ast/eip/eis/search/web/EipSearchController.java","2","472","'sortAccuracy' 처럼 파라미터 값을 직접 변경하지 말것","pmd-eclipse","AvoidReassigningParameters"
"259","kcue.ast.eip.eis.search.web","src/main/java/kcue/ast/eip/eis/search/web/EipSearchController.java","2","473","'sortPopular' 처럼 파라미터 값을 직접 변경하지 말것","pmd-eclipse","AvoidReassigningParameters"
"260","kcue.ast.eip.eis.search.web","src/main/java/kcue/ast/eip/eis/search/web/EipSearchController.java","2","474","'sortPeriod' 처럼 파라미터 값을 직접 변경하지 말것","pmd-eclipse","AvoidReassigningParameters"
"261","kcue.ast.eip.eis.search.web","src/main/java/kcue/ast/eip/eis/search/web/EipSearchController.java","2","475","'sortTarget' 처럼 파라미터 값을 직접 변경하지 말것","pmd-eclipse","AvoidReassigningParameters"
"262","kcue.ast.eip.eis.search.web","src/main/java/kcue/ast/eip/eis/search/web/EipSearchController.java","2","476","'sortYear' 처럼 파라미터 값을 직접 변경하지 말것","pmd-eclipse","AvoidReassigningParameters"
"263","kcue.ast.eip.eis.search.web","src/main/java/kcue/ast/eip/eis/search/web/EipSearchController.java","2","477","'sortPlace' 처럼 파라미터 값을 직접 변경하지 말것","pmd-eclipse","AvoidReassigningParameters"
"264","kcue.ast.eip.eis.search.web","src/main/java/kcue/ast/eip/eis/search/web/EipSearchController.java","2","477","'sortPlace' 처럼 파라미터 값을 직접 변경하지 말것","pmd-eclipse","AvoidReassigningParameters"
"265","kcue.ast.eip.eis.search.web","src/main/java/kcue/ast/eip/eis/search/web/EipSearchController.java","2","478","'searchOption' 처럼 파라미터 값을 직접 변경하지 말것","pmd-eclipse","AvoidReassigningParameters"
"266","kcue.ast.eip.eis.search.web","src/main/java/kcue/ast/eip/eis/search/web/EipSearchController.java","2","478","'searchOption' 처럼 파라미터 값을 직접 변경하지 말것","pmd-eclipse","AvoidReassigningParameters"
"267","kcue.ast.eip.eis.search.web","src/main/java/kcue/ast/eip/eis/search/web/EipSearchController.java","2","478","'searchOption' 처럼 파라미터 값을 직접 변경하지 말것","pmd-eclipse","AvoidReassigningParameters"
"268","kcue.ast.eip.eis.search.web","src/main/java/kcue/ast/eip/eis/search/web/EipSearchController.java","1","486","필요없는 Instance가 생성되어 있음","pmd-eclipse","StringInstantiation"
"269","kcue.ast.eip.eis.search.web","src/main/java/kcue/ast/eip/eis/search/web/EipSearchController.java","1","487","필요없는 Instance가 생성되어 있음","pmd-eclipse","StringInstantiation"
"270","kcue.ast.eip.eis.search.web","src/main/java/kcue/ast/eip/eis/search/web/EipSearchController.java","2","1044","'keyword' 처럼 파라미터 값을 직접 변경하지 말것","pmd-eclipse","AvoidReassigningParameters"
"271","kcue.common","src/main/java/kcue/common/KcueDefaultVO.java","1","138","final field를 Static 으로 변경하면 overhead 를 줄일 수 있음.","pmd-eclipse","FinalFieldCouldBeStatic"
"272","kcue.common.advice","src/main/java/kcue/common/advice/KcueMethodInvokeAspect.java","1","17","빈 Method에 주석을 추가할것","pmd-eclipse","UncommentedEmptyMethod"
"273","kcue.common.advice","src/main/java/kcue/common/advice/KcueMethodInvokeAspect.java","1","20","빈 Method에 주석을 추가할것","pmd-eclipse","UncommentedEmptyMethod"
"274","kcue.common.interceptor","src/main/java/kcue/common/interceptor/KcueAuthInterceptor.java","2","90","StringBuffer 함수에서 nonliteral 을 직접 concatenate 하지 말 것","pmd-eclipse","InefficientStringBuffering"
"275","kcue.common.interceptor","src/main/java/kcue/common/interceptor/KcueAuthInterceptor.java","2","232","사용되지 않는 Private Method 'actionParamString(Map)' 가 선언되었음","pmd-eclipse","UnusedPrivateMethod"
"276","kcue.common.interceptor","src/main/java/kcue/common/interceptor/KcueLoggingInterceptor.java","2","96","사용되지 않는 Private Method 'actionParamString(Map)' 가 선언되었음","pmd-eclipse","UnusedPrivateMethod"
